entityType,nationality,dataSource,listType,firstName,lastName,party,constituency,URI
Individual,UK,http://www.theyworkforyou.com,PEP,Sarah,Champion,Labour,Rotherham,http://www.theyworkforyou.com/mp/25168/sarah_champion/rotherham
Individual,UK,http://www.theyworkforyou.com,PEP,Jenny,Chapman,Labour,Darlington,http://www.theyworkforyou.com/mp/24711/jenny_chapman/darlington
Individual,UK,http://www.theyworkforyou.com,PEP,Rehman,Chishti,Conservative,Gillingham and Rainham,http://www.theyworkforyou.com/mp/24920/rehman_chishti/gillingham_and_rainham
Individual,UK,http://www.theyworkforyou.com,PEP,Christopher,Chope,Conservative,Christchurch,http://www.theyworkforyou.com/mp/10103/christopher_chope/christchurch
Individual,UK,http://www.theyworkforyou.com,PEP,James,Clappison,Conservative,Hertsmere,http://www.theyworkforyou.com/mp/10106/james_clappison/hertsmere
Individual,UK,http://www.theyworkforyou.com,PEP,Greg,Clark,Conservative,Tunbridge Wells,http://www.theyworkforyou.com/mp/11884/greg_clark/tunbridge_wells
Individual,UK,http://www.theyworkforyou.com,PEP,Katy,Clark,Labour,North Ayrshire and Arran,http://www.theyworkforyou.com/mp/11963/katy_clark/north_ayrshire_and_arran
Individual,UK,http://www.theyworkforyou.com,PEP,Kenneth,Clarke,Conservative,Rushcliffe,http://www.theyworkforyou.com/mp/10115/kenneth_clarke/rushcliffe
Individual,UK,http://www.theyworkforyou.com,PEP,Tom,Clarke,Labour,"Coatbridge, Chryston and Bellshill",http://www.theyworkforyou.com/mp/10116/tom_clarke/coatbridge%2C_chryston_and_bellshill
Individual,UK,http://www.theyworkforyou.com,PEP,Nicholas,Clegg,Liberal Democrat,"Sheffield, Hallam",http://www.theyworkforyou.com/mp/11812/nicholas_clegg/sheffield%2C_hallam
Individual,UK,http://www.theyworkforyou.com,PEP,Geoffrey,Clifton-Brown,Conservative,The Cotswolds,http://www.theyworkforyou.com/mp/10119/geoffrey_clifton-brown/the_cotswolds
Individual,UK,http://www.theyworkforyou.com,PEP,Ann,Clwyd,Labour,Cynon Valley,http://www.theyworkforyou.com/mp/10120/ann_clwyd/cynon_valley
Individual,UK,http://www.theyworkforyou.com,PEP,Vernon,Coaker,Labour,Gedling,http://www.theyworkforyou.com/mp/10121/vernon_coaker/gedling
Individual,UK,http://www.theyworkforyou.com,PEP,Ann,Coffey,Labour,Stockport,http://www.theyworkforyou.com/mp/10122/ann_coffey/stockport
Individual,UK,http://www.theyworkforyou.com,PEP,Therese,Coffey,Conservative,Suffolk Coastal,http://www.theyworkforyou.com/mp/24771/therese_coffey/suffolk_coastal
Individual,UK,http://www.theyworkforyou.com,PEP,Damian,Collins,Conservative,Folkestone and Hythe,http://www.theyworkforyou.com/mp/24744/damian_collins/folkestone_and_hythe
